,smiles,smask_idx,attri_1,attri_2,attri_3,attri_4,attri_5,attri_6,attri_7,attri_8,attri_9,attri_10,attri_mean,attri_std,change_atom_rate,attri_per_atom,sub_atom_num,connect_num
2,*C,[5],-0.34623342752456665,-0.5725547075271606,-0.39405858516693115,-0.3499327003955841,-0.4461698532104492,-0.014132976531982422,-0.3330581486225128,-0.3852401375770569,-0.4510849714279175,-0.30130720138549805,-0.3593772709369659,0.14406016030905508,0.1111111111111111,-0.3593772709369659,1,1
3,*O,[8],1.3174376487731934,1.2248365879058838,1.4333456754684448,1.7697991132736206,1.2924209833145142,1.900513768196106,1.8020235300064087,1.505340576171875,1.5060348510742188,1.7727716267108917,1.5524524360895158,0.2422013708341814,0.1111111111111111,1.5524524360895158,1,1
